GEO_ID,S1903_C03_001E
id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
1400000US13051004002,42768
1400000US13051004100,63967
1400000US13051004207,41314
1400000US13051004208,42593
1400000US13051004209,41411
1400000US13051004210,41857
1400000US13051004211,66086
1400000US13051004212,54000
1400000US13051004300,46094
1400000US13051004400,28428
1400000US13051004500,31465
1400000US13051010101,67083
1400000US13051010102,56214
1400000US13051010200,63811
1400000US13051010501,39713
1400000US13051010502,38500
1400000US13051010601,41713
1400000US13051010603,58836
1400000US13051010605,-
1400000US13051010700,90393
1400000US13051010801,62373
1400000US13051010802,71161
1400000US13051010803,64704
1400000US13051010806,62276
1400000US13051010807,77996
1400000US13051010808,58111
1400000US13051010809,77892
1400000US13051010901,23787
1400000US13051011003,63250
1400000US13051011004,121473
1400000US13051011005,95649
1400000US13051011006,88821
1400000US13051011103,82147
1400000US13051011104,70224
1400000US13051011106,71210
1400000US13051011107,92428
1400000US13051011108,89459
1400000US13051011109,90305
1400000US13051011200,61477
1400000US13051011300,32833
1400000US13051011400,24552
1400000US13051011500,89063
1400000US13051011600,38583
1400000US13051980000,-
1400000US13051990000,-
1400000US13053020100,36406
1400000US13053020201,64400
1400000US13053020203,53214
1400000US13053020205,49798
1400000US13053020206,-
1400000US13055010100,50068
1400000US13055010200,36226
1400000US13055010300,39583
1400000US13055010400,36935
1400000US13055010500,27817
1400000US13055010600,44779
1400000US13057090100,74284
1400000US13057090200,89522
1400000US13057090300,84120
1400000US13057090400,46118
1400000US13057090501,91726
1400000US13057090502,126988
1400000US13057090601,54676
1400000US13057090602,70282
1400000US13057090701,90392
1400000US13057090702,72299
1400000US13057090802,100536
1400000US13057090803,103239
1400000US13057090804,97135
1400000US13057090901,105368
1400000US13057090902,90045
1400000US13057090904,64873
1400000US13057090905,63723
1400000US13057091001,53031
1400000US13057091003,50705
1400000US13057091005,66288
1400000US13057091006,111574
1400000US13057091007,103387
1400000US13057091008,91549
1400000US13057091101,88310
1400000US13057091102,74137
1400000US13057091103,73997
1400000US13059000100,8906
1400000US13059000401,19871
1400000US13059000402,7861
1400000US13059000600,21000
1400000US13059000900,19720
1400000US13059001200,62500
1400000US13059001700,61696
1400000US13059001800,48185
1400000US13059001900,45917
1400000US13059002000,51094
1400000US13059002100,23914
1400000US13059002200,51736
1400000US13059030100,20066
1400000US13059030200,21060
1400000US13059130300,41637
1400000US13059130400,64806
1400000US13059130500,60625
1400000US13059130600,41205
1400000US13059130700,60164
1400000US13059140300,33426
1400000US13059140400,36159
1400000US13059140500,20111
1400000US13059140600,43342
1400000US13059150300,59500
1400000US13059150400,26442
1400000US13059150500,23302
1400000US13059150600,33936
1400000US13059150700,43464
1400000US13059150800,67132
1400000US13059150900,74353
1400000US13061960300,22325
1400000US13063040202,33276
1400000US13063040203,39656
1400000US13063040204,42169
1400000US13063040302,35301
1400000US13063040303,38023
1400000US13063040306,35434
1400000US13063040307,41083
1400000US13063040308,28422
1400000US13063040407,49271
1400000US13063040408,44551
1400000US13063040409,49519
1400000US13063040410,49719
1400000US13063040411,57924
1400000US13063040412,46530
1400000US13063040413,54265
1400000US13063040414,40313
1400000US13063040415,31851
1400000US13063040416,53750
1400000US13063040417,40231
1400000US13063040509,64849
1400000US13063040510,49265
1400000US13063040512,41016
1400000US13063040513,63980
1400000US13063040514,43905
1400000US13063040515,38977
1400000US13063040516,56328
1400000US13063040518,43841
1400000US13063040519,33934
1400000US13063040520,37731
1400000US13063040521,45682
1400000US13063040522,38917
1400000US13063040523,41688
